clave_emision,anio,unidad_sectorial_agregada,modulo,categoria_ipcc,categoria_nombre,producto_std,metodo_asignacion,unidad_origen_psut,psut_side,psut_block_code,source_record_id,actividad_base_tj,actividad_emisiones_tj,grupo_factor,tratamiento_co2,anio_factor,estado_factor,ef_co2_kg_tj,ef_ch4_kg_tj,ef_n2o_kg_tj,gas_fuente,emision_fuente_kt_gas,co2_directo_kt,co2_biogenico_memo_kt,ch4_kt,n2o_kt,co2e_kt,estado_resultado,clave_notacion,metodo_calculo,fuente_id_actividad,fuente_id_factor,nota
EM|2024|AGR|3.B|CH4,2024,A,AGRICULTURA,3.B,Gestión del estiércol,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.B|CH4,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,CH4,6.25969219772685,0,0,6.25969219772685,0,175.271381536352,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.B|N2O,2024,A,AGRICULTURA,3.B,Gestión del estiércol,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.B|N2O,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,N2O,0.920223922534038,0,0,0,0.920223922534038,243.85933947152,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.C|CH4,2024,A,AGRICULTURA,3.C,Cultivo de arroz,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.C|CH4,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,CH4,0.849148802113389,0,0,0.849148802113389,0,23.7761664591749,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.D|N2O,2024,A,AGRICULTURA,3.D,Suelos agrícolas,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.D|N2O,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,N2O,3.27534938297871,0,0,0,3.27534938297871,867.967586489358,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.E|CH4,2024,A,AGRICULTURA,3.E,Quema prescrita de sabanas,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.E|CH4,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,CH4,4.44965065708743,0,0,4.44965065708743,0,124.590218398448,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.E|N2O,2024,A,AGRICULTURA,3.E,Quema prescrita de sabanas,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.E|N2O,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,N2O,0.406272451299287,0,0,0,0.406272451299287,107.662199594311,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.F|CH4,2024,A,AGRICULTURA,3.F,Quema de residuos agrícolas en el campo,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.F|CH4,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,CH4,4.50833646283428,0,0,4.50833646283428,0,126.23342095936,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.F|N2O,2024,A,AGRICULTURA,3.F,Quema de residuos agrícolas en el campo,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.F|N2O,,,AGRICULTURA_CRT,NO_APLICA,2022,PRX,,,,N2O,0.116882797184593,0,0,0,0.116882797184593,30.9739412539172,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.G|NO,2024,A,AGRICULTURA,3.G,Encalado,,SIN_CALCULO_NO,A,,,AGR|2024|3.G|NO,,,NO,NO_APLICA,2022,NO,,,,NO,,,,,,,NO,NO,SIN_CALCULO_NO,BANGUAT_SCN_2013,,
EM|2024|AGR|3.H|CO2,2024,A,AGRICULTURA,3.H,Aplicación de urea,,PROXY_VAB_DESDE_2022,A,,,AGR|2024|3.H|CO2,,,AGRICULTURA_CRT,FOSIL,2022,PRX,,,,CO2,32.8627608101359,32.8627608101359,0,0,0,32.8627608101359,PRX,,EMISION_2022_X_RATIO_VAB,BANGUAT_SCN_2013,UNFCCC_GTM_CRT_2024,
EM|2024|AGR|3.I|NO,2024,A,AGRICULTURA,3.I,Otros fertilizantes que contienen carbono,,SIN_CALCULO_NO,A,,,AGR|2024|3.I|NO,,,NO,NO_APLICA,2022,NO,,,,NO,,,,,,,NO,NO,SIN_CALCULO_NO,BANGUAT_SCN_2013,,
EM|2024|AGR|3.J|NO,2024,A,AGRICULTURA,3.J,Otros,,SIN_CALCULO_NO,A,,,AGR|2024|3.J|NO,,,NO,NO_APLICA,2022,NO,,,,NO,,,,,,,NO,NO,SIN_CALCULO_NO,BANGUAT_SCN_2013,,
