clave_emision,anio,unidad_sectorial_agregada,modulo,categoria_ipcc,categoria_nombre,producto_std,metodo_asignacion,unidad_origen_psut,psut_side,psut_block_code,source_record_id,actividad_base_tj,actividad_emisiones_tj,grupo_factor,tratamiento_co2,anio_factor,estado_factor,ef_co2_kg_tj,ef_ch4_kg_tj,ef_n2o_kg_tj,gas_fuente,emision_fuente_kt_gas,co2_directo_kt,co2_biogenico_memo_kt,ch4_kt,n2o_kt,co2e_kt,estado_resultado,clave_notacion,metodo_calculo,fuente_id_actividad,fuente_id_factor,nota
EM|2018|BEV2_00148,2018,ENER,COMBUSTION,1.A.1.c,Fabricación de combustibles sólidos y otras industrias de la energía,DOIL,USO_ENER,ENER,Use,E,BEV2_00148,2077.9465,2077.9465,NO,FOSIL,2018,NO,,,,,,,,,,,NO,,SIN_CALCULO_NO,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00160,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,ELEC,GENERACION_CENTRAL,ENER,Supply,C,BEV2_00160,47093.5941,47093.5941,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00161,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,ELEC,AUTOPRODUCCION,ENER,Supply,C,BEV2_00161,3763.718,3763.718,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00162,2018,ENER,COMBUSTION,1.A.1.c,Fabricación de combustibles sólidos y otras industrias de la energía,ELEC,USO_ENER,ENER,Use,E,BEV2_00162,2788.9162,2788.9162,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00174,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,FOIL,GENERACION_CENTRAL,ENER,Use,E,BEV2_00174,3481.6425,3481.6425,COMB_FOIL,FOSIL,2018,PRX,77400,3,0.6,,,269.4791295,0,0.0104449275,0.0020889855,270.3251686275,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Fuelóleo residual; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Fuelóleo residual; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Fuelóleo residual; gas N2O]."
EM|2018|BEV2_00094,2018,HH,COMBUSTION,1.A.4.b,Residencial,LENA,USO_HH,HH,Use,F,BEV2_00094,281062.2941,281062.2941,BIOMASS,BIOGENICO,2018,OBS,112000.000099622,300.000000355793,3.99999998576829,,,0,31478.9769672,84.31868833,1.1242491724,2658.849303926,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00164,2018,HH,COMBUSTION,1.A.4.b,Residencial,ELEC,USO_HH,HH,Use,F,BEV2_00164,13215.6584,13215.6584,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00206,2018,HH,COMBUSTION,1.A.4.b,Residencial,GLP,USO_HH,HH,Use,F,BEV2_00206,14368.8853,14368.8853,COMB_GLP,FOSIL,2018,PRX,63100,5,0.1,,,906.67666243,0,0.0718444265,0.00143688853,909.06908183245,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gases licuados de petróleo; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Gases licuados de petróleo; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Gases licuados de petróleo; gas N2O]."
EM|2018|BEV2_00220,2018,HH,COMBUSTION,1.A.4.b,Residencial,KER,USO_HH,HH,Use,F,BEV2_00220,20.6836,20.6836,COMB_KER,FOSIL,2018,PRX,71900,10,0.6,,,1.48715084,0,0.000206836,1.241016E-005,1.4962309404,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otro queroseno; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Otro queroseno; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Otro queroseno; gas N2O]."
EM|2018|BEV2_00138,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,COQUE,USO_IND_BEN,IND_BEN,Use,E,BEV2_00138,6626.305,6626.305,COMB_COQUE,FOSIL,2018,PRX,97500,3,0.6,,,646.0647375,0,0.019878915,0.003975783,647.674929615,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Coque de petróleo; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Coque de petróleo; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Coque de petróleo; gas N2O]."
EM|2018|BEV2_00152,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,DOIL,USO_IND_BEN,IND_BEN,Use,E,BEV2_00152,5767.2965,5767.2965,COMB_DOIL,FOSIL,2018,PRX,74100,3,0.6,,,427.35667065,0,0.0173018895,0.0034603779,428.7581236995,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas/Diésel oíl; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Diésel; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Diésel; gas N2O]."
EM|2018|BEV2_00166,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,ELEC,USO_IND_BEN,IND_BEN,Use,E,BEV2_00166,13303.157,13303.157,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00180,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,FOIL,USO_IND_BEN,IND_BEN,Use,E,BEV2_00180,6938.5344,6938.5344,COMB_FOIL,FOSIL,2018,PRX,77400,3,0.6,,,537.04256256,0,0.0208156032,0.00416312064,538.7286264192,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Fuelóleo residual; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Fuelóleo residual; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Fuelóleo residual; gas N2O]."
EM|2018|BEV2_00194,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,GAS,USO_IND_BEN,IND_BEN,Use,E,BEV2_00194,1406.8334,1406.8334,COMB_GAS,FOSIL,2018,PRX,69300,3,0.6,,,97.49355462,0,0.0042205002,0.00084410004,97.8354151362,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gasolina para motores; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Gasolina para motores; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Gasolina para motores; gas N2O]."
EM|2018|BEV2_00208,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,GLP,USO_IND_BEN,IND_BEN,Use,E,BEV2_00208,3732.1697,3732.1697,COMB_GLP,FOSIL,2018,PRX,63100,1,0.1,,,235.49990807,0,0.0037321697,0.00037321697,235.70331131865,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gases licuados de petróleo; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Gases licuados de petróleo; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Gases licuados de petróleo; gas N2O]."
EM|2018|BEV2_00222,2018,IND_BEN,COMBUSTION,1.A.2,Industrias manufactureras y construcción,KER,USO_IND_BEN,IND_BEN,Use,E,BEV2_00222,2.9631,2.9631,COMB_KER,FOSIL,2018,PRX,71900,3,0.6,,,0.21304689,0,8.8893E-006,1.77786E-006,0.2137669233,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otro queroseno; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Otro queroseno; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.22, p. 62; fila Otro queroseno; gas N2O]."
EM|2018|BEV2_00095,2018,SERV,COMBUSTION,1.A.4.a,Comercial e institucional,LENA,USO_SERV,SERV,Use,E,BEV2_00095,8692.6315,8692.6315,BIOMASS,BIOGENICO,2018,OBS,112000.000101235,299.99999965488,4.00000045555799,,,0,973.57472888,2.607789447,0.0347705299599977,82.2322949553994,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00165,2018,SERV,COMBUSTION,1.A.4.a,Comercial e institucional,ELEC,USO_SERV,SERV,Use,E,BEV2_00165,10273.0096,10273.0096,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00193,2018,SERV,COMBUSTION,1.A.4.a,Comercial e institucional,GAS,USO_SERV,SERV,Use,E,BEV2_00193,351.6793,351.6793,COMB_GAS,FOSIL,2018,PRX,69300,10,0.6,,,24.37137549,0,0.003516793,0.00021100758,24.5257627027,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gasolina para motores; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Gasolina para motores; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Gasolina para motores; gas N2O]."
EM|2018|BEV2_00207,2018,SERV,COMBUSTION,1.A.4.a,Comercial e institucional,GLP,USO_SERV,SERV,Use,E,BEV2_00207,373.2344,373.2344,COMB_GLP,FOSIL,2018,PRX,63100,5,0.1,,,23.55109064,0,0.001866172,3.732344E-005,23.6132341676,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gases licuados de petróleo; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Gases licuados de petróleo; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Gases licuados de petróleo; gas N2O]."
EM|2018|BEV2_00221,2018,SERV,COMBUSTION,1.A.4.a,Comercial e institucional,KER,USO_SERV,SERV,Use,E,BEV2_00221,0.9877,0.9877,COMB_KER,FOSIL,2018,PRX,71900,10,0.6,,,0.07101563,0,9.877E-006,5.9262E-007,0.0714492303,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otro queroseno; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Otro queroseno; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.33, p. 70; fila Otro queroseno; gas N2O]."
EM|2018|BEV2_00149,2018,TR_BEN,COMBUSTION,1.A.3,Transporte,DOIL,USO_TR_BEN,TR_BEN,Use,E,BEV2_00149,66323.7064,66323.7064,COMB_DOIL,FOSIL,2018,OBS,74099.999965774,3.89999993471418,3.89999993471418,,,4914.58664197,0,0.258662450630003,0.258662450630003,4990.37474000459,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,Origen de factores: CO2: UNFCCC_GTM_CRT_2024 [OBS; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C22; EM=H22; IEF=E22]; CH4: UNFCCC_GTM_CRT_2024 [OBS; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C22; EM=I22; IEF=F22]; N2O: UNFCCC_GTM_CRT_2024 [OBS; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C22; EM=J22; IEF=G22].
EM|2018|BEV2_00191,2018,TR_BEN,COMBUSTION,1.A.3,Transporte,GAS,USO_TR_BEN,TR_BEN,Use,E,BEV2_00191,68640.2696,68640.2696,COMB_GAS,FOSIL,2018,PRX,69300.5776701508,32.9731772842898,3.19900961230507,,,4756.81033471489,0,2.26328777836225,0.219580882241611,4878.37132630306,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,Origen de factores: CO2: UNFCCC_GTM_CRT_2024 [PRX; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C17+C21; EM=H17+H21; IEF=E17+E21]; CH4: UNFCCC_GTM_CRT_2024 [PRX; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C17+C21; EM=I17+I21; IEF=F17+F21]; N2O: UNFCCC_GTM_CRT_2024 [PRX; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C17+C21; EM=J17+J21; IEF=G17+G21].
EM|2018|BEV2_00205,2018,TR_BEN,COMBUSTION,1.A.3,Transporte,GLP,USO_TR_BEN,TR_BEN,Use,E,BEV2_00205,186.6172,186.6172,COMB_GLP,FOSIL,2018,OBS,63099.9998135221,61.9999834098989,0.199997526488808,,,11.7755452852,0,0.0115702633040018,3.73229784002671E-005,12.1094032469881,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,Origen de factores: CO2: UNFCCC_GTM_CRT_2024 [OBS; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C23; EM=H23; IEF=E23]; CH4: UNFCCC_GTM_CRT_2024 [OBS; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C23; EM=I23; IEF=F23]; N2O: UNFCCC_GTM_CRT_2024 [OBS; GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx; Table1.A(a)s3; AD=C23; EM=J23; IEF=G23].
EM|2018|BEV2_00219,2018,TR_BEN,COMBUSTION,1.A.3,Transporte,KER,USO_TR_BEN,TR_BEN,Use,E,BEV2_00219,4421.41,4421.41,COMB_KER,FOSIL,2018,PRX,71500,0.5,2,,,316.130815,0,0.002210705,0.00884282,318.53606204,CAL,,ACTIVIDAD_X_FE,MEM_BEN,IPCC_2006_GL,"Origen de factores: CO2: IPCC_2006_GL [PRX; Volumen 2, capítulo 3, tabla 3.6.4, p. 3.64; fila Jet Kerosene; gas CO2]; CH4: IPCC_2006_GL [PRX; Volumen 2, capítulo 3, tabla 3.6.5, p. 3.64; fila All fuels; gas CH4]; N2O: IPCC_2006_GL [PRX; Volumen 2, capítulo 3, tabla 3.6.5, p. 3.64; fila All fuels; gas N2O]."
EM|2018|AGR|3.A|CH4,2018,A,AGRICULTURA,3.A,Fermentación entérica,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.A|CH4,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,CH4,167.645486,0,0,167.645486,0,4694.073608,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.B|CH4,2018,A,AGRICULTURA,3.B,Gestión del estiércol,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.B|CH4,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,CH4,5.91906983,0,0,5.91906983,0,165.73395524,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.B|N2O,2018,A,AGRICULTURA,3.B,Gestión del estiércol,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.B|N2O,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,N2O,0.868634599923576,0,0,0,0.868634599923576,230.188168979748,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.C|CH4,2018,A,AGRICULTURA,3.C,Cultivo de arroz,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.C|CH4,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,CH4,0.73345698195,0,0,0.73345698195,0,20.5367954946,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.D|N2O,2018,A,AGRICULTURA,3.D,Suelos agrícolas,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.D|N2O,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,N2O,5.51640030403902,0,0,0,5.51640030403902,1461.84608057034,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.E|CH4,2018,A,AGRICULTURA,3.E,Quema prescrita de sabanas,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.E|CH4,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,CH4,3.427926184194,0,0,3.427926184194,0,95.981933157432,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.E|N2O,2018,A,AGRICULTURA,3.E,Quema prescrita de sabanas,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.E|N2O,,,AGRICULTURA_CRT,NO_APLICA,2018,OBS,,,,N2O,0.3129845646438,0,0,0,0.3129845646438,82.940909630607,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.F|CH4,2018,A,AGRICULTURA,3.F,Quema de residuos agrícolas en el campo,,TOTAL_SECTOR_MENOS_COMPONENTES,A,,,AGR|2018|3.F|CH4,,,AGRICULTURA_CRT,NO_APLICA,2018,CAL,,,,CH4,5.22897923783253,0,0,5.22897923783253,0,146.411418659311,CAL,,TOTAL_SECTOR_MENOS_COMPONENTES,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.F|N2O,2018,A,AGRICULTURA,3.F,Quema de residuos agrícolas en el campo,,TOTAL_SECTOR_MENOS_COMPONENTES,A,,,AGR|2018|3.F|N2O,,,AGRICULTURA_CRT,NO_APLICA,2018,CAL,,,,N2O,0.13556612838825,0,0,0,0.13556612838825,35.9250240228863,CAL,,TOTAL_SECTOR_MENOS_COMPONENTES,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.G|NO,2018,A,AGRICULTURA,3.G,Encalado,,SIN_CALCULO_NO,A,,,AGR|2018|3.G|NO,,,NO,NO_APLICA,2018,NO,,,,NO,,,,,,,NO,NO,SIN_CALCULO_NO,UNFCCC_GTM_CRT_2024,,
EM|2018|AGR|3.H|CO2,2018,A,AGRICULTURA,3.H,Aplicación de urea,,EMISION_OBSERVADA_CRT,A,,,AGR|2018|3.H|CO2,,,AGRICULTURA_CRT,FOSIL,2018,OBS,,,,CO2,37.309224652,37.309224652,0,0,0,37.309224652,OBS,,EMISION_OBSERVADA_CRT,UNFCCC_GTM_CRT_2024,UNFCCC_GTM_CRT_2024,
EM|2018|AGR|3.I|NO,2018,A,AGRICULTURA,3.I,Otros fertilizantes que contienen carbono,,SIN_CALCULO_NO,A,,,AGR|2018|3.I|NO,,,NO,NO_APLICA,2018,NO,,,,NO,,,,,,,NO,NO,SIN_CALCULO_NO,UNFCCC_GTM_CRT_2024,,
EM|2018|AGR|3.J|NO,2018,A,AGRICULTURA,3.J,Otros,,SIN_CALCULO_NO,A,,,AGR|2018|3.J|NO,,,NO,NO_APLICA,2018,NO,,,,NO,,,,,,,NO,NO,SIN_CALCULO_NO,UNFCCC_GTM_CRT_2024,,
EM|2019|BEV2_00323,2019,A,COMBUSTION,1.A.4.c,"Agricultura, silvicultura y pesca",LENA,FRONTERA_LENA_A,A,Supply,C,BEV2_00323,295324.624,295324.624,NO,BIOGENICO,2019,NO,,,,,,,,,,,NO,,SIN_CALCULO_NO,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2019|BEV2_00267,2019,B,FUGITIVAS,1.B.1.a,Minería de carbón,CRBN,EXTRACCION_B,ENV,Supply,A,BEV2_00267,0,0,NO,FOSIL,2019,NO,,,,,,,,,,,NO,,SIN_CALCULO_NO,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2019|BEV2_00337,2019,B,FUGITIVAS,1.B.2.a.ii,Producción y mejoramiento de petróleo,PETR,EXTRACCION_B,ENV,Supply,A,BEV2_00337,20207.7029,20207.7029,FUGITIVA_PETROLEO,FOSIL,2019,OBS,0.00676920086745733,0.0928774541712012,,,,0.00013679,0,0.00187684,,0.05268831,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,CO2e parcial: N2O sin factor numérico; el total incluye solo los gases cuantificados.
EM|2019|BEV2_00244,2019,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BCANA,GENERACION_CENTRAL,ENER,Use,E,BEV2_00244,48577.41,48577.41,COMB_BCANA,BIOGENICO,2019,PRX,100000,30,4,,,0,4857.741,1.4573223,0.19430964,92.297079,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otra biomasa sólida primaria; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas N2O]."
EM|2019|BEV2_00245,2019,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BCANA,AUTOPRODUCCION,ENER,Use,E,BEV2_00245,4485.0295,4485.0295,COMB_BCANA,BIOGENICO,2019,PRX,100000,30,4,,,0,448.50295,0.134550885,0.017940118,8.52155605,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otra biomasa sólida primaria; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas N2O]."
EM|2019|BEV2_00258,2019,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BIOGAS,GENERACION_CENTRAL,ENER,Use,E,BEV2_00258,293.5793,293.5793,COMB_BIOGAS,BIOGENICO,2019,PRX,54600,1,0.1,,,0,16.02942978,0.0002935793,2.935793E-005,0.01600007185,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas de vertedero; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas N2O]."
EM|2019|BEV2_00259,2019,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BIOGAS,AUTOPRODUCCION,ENER,Use,E,BEV2_00259,19.173,19.173,COMB_BIOGAS,BIOGENICO,2019,PRX,54600,1,0.1,,,0,1.0468458,1.9173E-005,1.9173E-006,0.0010449285,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas de vertedero; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas N2O]."
