registro_mapeo,anio,producto,flow_group,lado,bloque,unidad_sectorial,source_record_id,metodo,ajuste,TJ,tipo_STAT,estado_fuente
MAP_0058,2024,FOIL,Energy products,Supply,D,ROW,BEV2_01696,COMERCIO_EXTERIOR,sin ajuste,13499.8255,,OK
MAP_0059,2024,FOIL,Energy products,Use,H,ROW,BEV2_01697,COMERCIO_EXTERIOR,sin ajuste,127.4133,,OK
MAP_0060,2024,FOIL,Energy products,Use,G,ACC,BEV2_01698,CAMBIO_EXISTENCIAS,cambio de signo,-1112.4988,,OK
MAP_0061,2024,FOIL,Energy products,Use,E,ENER,BEV2_01700,GENERACION_CENTRAL,valor absoluto,7216.3686,,OK
MAP_0062,2024,FOIL,Energy products,Use,E,ENER,BEV2_01701,AUTOPRODUCCION,valor absoluto,9.296,,OK
MAP_0063,2024,FOIL,Energy products,Use,E,IND_BEN,BEV2_01706,USO_IND_BEN,sin ajuste,7259.2464,,OK
MAP_0064,2024,GAS,Energy products,Supply,D,ROW,BEV2_01710,COMERCIO_EXTERIOR,sin ajuste,97933.1857,,OK
MAP_0065,2024,GAS,Energy products,Use,H,ROW,BEV2_01711,COMERCIO_EXTERIOR,sin ajuste,752.5112,,OK
MAP_0066,2024,GAS,Energy products,Use,G,ACC,BEV2_01712,CAMBIO_EXISTENCIAS,cambio de signo,788.1265,,OK
MAP_0067,2024,GAS,Energy products,Use,E,TR_BEN,BEV2_01717,USO_TR_BEN,sin ajuste,93990.3454,,OK
MAP_0068,2024,GAS,Energy products,Use,E,SERV,BEV2_01719,USO_SERV,sin ajuste,480.4289,,OK
MAP_0069,2024,GAS,Energy products,Use,E,IND_BEN,BEV2_01720,USO_IND_BEN,sin ajuste,1921.7156,,OK
MAP_0070,2024,GLP,Energy products,Supply,D,ROW,BEV2_01724,COMERCIO_EXTERIOR,sin ajuste,34095.3459,,OK
MAP_0071,2024,GLP,Energy products,Use,H,ROW,BEV2_01725,COMERCIO_EXTERIOR,sin ajuste,7869.645,,OK
MAP_0072,2024,GLP,Energy products,Use,G,ACC,BEV2_01726,CAMBIO_EXISTENCIAS,cambio de signo,459.4548,,OK
MAP_0073,2024,GLP,Energy products,Use,E,TR_BEN,BEV2_01731,USO_TR_BEN,sin ajuste,257.6735,,OK
MAP_0074,2024,GLP,Energy products,Use,F,HH,BEV2_01732,USO_HH,sin ajuste,19839.988,,OK
MAP_0075,2024,GLP,Energy products,Use,E,SERV,BEV2_01733,USO_SERV,sin ajuste,515.347,,OK
MAP_0076,2024,GLP,Energy products,Use,E,IND_BEN,BEV2_01734,USO_IND_BEN,sin ajuste,5153.2376,,OK
MAP_0077,2024,KER,Energy products,Supply,D,ROW,BEV2_01738,COMERCIO_EXTERIOR,sin ajuste,5536.2909,,OK
MAP_0078,2024,KER,Energy products,Use,G,ACC,BEV2_01740,CAMBIO_EXISTENCIAS,cambio de signo,-74.8328,,OK
MAP_0079,2024,KER,Energy products,Use,E,TR_BEN,BEV2_01745,USO_TR_BEN,sin ajuste,5611.1237,,OK
MAP_0080,2024,NOEN,Energy products,Supply,D,ROW,BEV2_01752,COMERCIO_EXTERIOR,sin ajuste,444.7555,,OK
MAP_0081,2024,NOEN,Energy products,Use,H,ROW,BEV2_01753,COMERCIO_EXTERIOR,sin ajuste,1991.5518,,OK
MAP_0082,2024,NOEN,Energy products,Use,G,ACC,BEV2_01754,CAMBIO_EXISTENCIAS,cambio de signo,19.754,,OK
MAP_0083,2024,NOEN,Energy products,Supply,C,ENER,BEV2_01755,TRANSFORMACION_REFINERIA,sin ajuste,2783.571,,OK
MAP_0084,2024,ELEC,Energy products,Use,SD,STAT,STAT_2024_ELEC,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0085,2024,GAS,Energy products,Use,SD,STAT,STAT_2024_GAS,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0086,2024,NOEN,Energy products,Use,E,NO_ASIG,NOEN_APARENTE_2024,USO_NO_ENERGETICO_APARENTE,sin ajuste,1217.0207,,CAL
MAP_0087,2023,BCANA,Energy products,Supply,C,IND_BEN,BEV2_01247,FRONTERA_BAGAZO_IND,sin ajuste,89068.5201,,OK
MAP_0088,2023,BCANA,Energy products,Use,E,ENER,BEV2_01252,GENERACION_CENTRAL,valor absoluto,58056.7155,,OK
MAP_0089,2023,BCANA,Energy products,Use,E,ENER,BEV2_01253,AUTOPRODUCCION,valor absoluto,31011.8046,,OK
MAP_0090,2023,BIOGAS,Energy products,Supply,C,ENER,BEV2_01261,FRONTERA_BIOGAS_ENER,sin ajuste,362.4278,,OK
MAP_0091,2023,BIOGAS,Energy products,Use,E,ENER,BEV2_01266,GENERACION_CENTRAL,valor absoluto,362.4278,,OK
MAP_0092,2023,CRBN,Energy from natural inputs,Supply,A,ENV,BEV2_01275,EXTRACCION_B,sin ajuste,0,,OK
MAP_0093,2023,CRBN,Energy from natural inputs,Use,B,B,BEV2_01275,EXTRACCION_B,sin ajuste,0,,OK
MAP_0094,2023,CRBN,Energy products,Supply,C,B,BEV2_01275,EXTRACCION_B,sin ajuste,0,,OK
MAP_0095,2023,CRBN,Energy products,Supply,D,ROW,BEV2_01276,COMERCIO_EXTERIOR,sin ajuste,39409.5786,,OK
MAP_0096,2023,CRBN,Energy products,Use,G,ACC,BEV2_01278,CAMBIO_EXISTENCIAS,cambio de signo,9004.8028,,OK
MAP_0097,2023,CRBN,Energy products,Use,E,ENER,BEV2_01280,GENERACION_CENTRAL,valor absoluto,25264.9012,,OK
MAP_0098,2023,CRBN,Energy products,Use,E,ENER,BEV2_01281,AUTOPRODUCCION,valor absoluto,5139.8165,,OK
MAP_0099,2023,EOLICA,Energy from natural inputs,Supply,A,ENV,BEV2_01289,INSUMO_NATURAL_RENOVABLE,sin ajuste,1248.5109,,OK
MAP_0100,2023,EOLICA,Energy from natural inputs,Use,B,ENER,BEV2_01294,GENERACION_CENTRAL,valor absoluto,1248.5109,,OK
MAP_0101,2023,GEOE,Energy from natural inputs,Supply,A,ENV,BEV2_01303,INSUMO_NATURAL_RENOVABLE,sin ajuste,11880.869,,OK
MAP_0102,2023,GEOE,Energy from natural inputs,Use,B,ENER,BEV2_01308,GENERACION_CENTRAL,valor absoluto,11880.869,,OK
MAP_0103,2023,GN,Energy from natural inputs,Supply,A,ENV,BEV2_01317,EXTRACCION_B,sin ajuste,0,,OK
MAP_0104,2023,GN,Energy from natural inputs,Use,B,B,BEV2_01317,EXTRACCION_B,sin ajuste,0,,OK
MAP_0105,2023,GN,Energy products,Supply,C,B,BEV2_01317,EXTRACCION_B,sin ajuste,0,,OK
MAP_0106,2023,HYDR,Energy from natural inputs,Supply,A,ENV,BEV2_01331,INSUMO_NATURAL_RENOVABLE,sin ajuste,25764.0383,,OK
MAP_0107,2023,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_01336,GENERACION_CENTRAL,valor absoluto,25658.7611,,OK
MAP_0108,2023,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_01337,AUTOPRODUCCION,valor absoluto,105.2772,,OK
MAP_0109,2023,LENA,Energy products,Supply,C,A,BEV2_01345,FRONTERA_LENA_A,sin ajuste,332578.2278,,OK
MAP_0110,2023,LENA,Energy products,Use,F,HH,BEV2_01354,USO_HH,sin ajuste,322600.8891,,OK
MAP_0111,2023,LENA,Energy products,Use,E,SERV,BEV2_01355,USO_SERV,sin ajuste,9977.3387,,OK
MAP_0112,2023,PETR,Energy from natural inputs,Supply,A,ENV,BEV2_01359,EXTRACCION_B,sin ajuste,10510.2319,,OK
MAP_0113,2023,PETR,Energy from natural inputs,Use,B,B,BEV2_01359,EXTRACCION_B,sin ajuste,10510.2319,,OK
MAP_0114,2023,PETR,Energy products,Supply,C,B,BEV2_01359,EXTRACCION_B,sin ajuste,10510.2319,,OK
MAP_0115,2023,PETR,Energy products,Supply,D,ROW,BEV2_01360,COMERCIO_EXTERIOR,sin ajuste,101.0359,,OK
MAP_0116,2023,PETR,Energy products,Use,H,ROW,BEV2_01361,COMERCIO_EXTERIOR,sin ajuste,3235.7052,,OK
MAP_0117,2023,PETR,Energy products,Use,G,ACC,BEV2_01362,CAMBIO_EXISTENCIAS,cambio de signo,3070.2364,,OK
MAP_0118,2023,PETR,Energy products,Use,E,ENER,BEV2_01363,TRANSFORMACION_REFINERIA,valor absoluto,4305.2681,,OK
MAP_0119,2023,SOLAR,Energy from natural inputs,Supply,A,ENV,BEV2_01373,INSUMO_NATURAL_RENOVABLE,sin ajuste,887.187,,OK
MAP_0120,2023,SOLAR,Energy from natural inputs,Use,B,ENER,BEV2_01378,GENERACION_CENTRAL,valor absoluto,887.187,,OK
MAP_0121,2023,COQUE,Energy products,Supply,D,ROW,BEV2_01388,COMERCIO_EXTERIOR,sin ajuste,24907.5862,,OK
MAP_0122,2023,COQUE,Energy products,Use,G,ACC,BEV2_01390,CAMBIO_EXISTENCIAS,cambio de signo,-131.1898,,OK
MAP_0123,2023,COQUE,Energy products,Use,E,IND_BEN,BEV2_01398,USO_IND_BEN,sin ajuste,25038.7179,,OK
MAP_0124,2023,DOIL,Energy products,Supply,D,ROW,BEV2_01402,COMERCIO_EXTERIOR,sin ajuste,89072.9357,,OK
MAP_0125,2023,DOIL,Energy products,Use,H,ROW,BEV2_01403,COMERCIO_EXTERIOR,sin ajuste,1253.798,,OK
MAP_0126,2023,DOIL,Energy products,Use,G,ACC,BEV2_01404,CAMBIO_EXISTENCIAS,cambio de signo,1624.3598,,OK
MAP_0127,2023,DOIL,Energy products,Use,E,ENER,BEV2_01406,GENERACION_CENTRAL,valor absoluto,98.189,,OK
MAP_0128,2023,DOIL,Energy products,Use,E,TR_BEN,BEV2_01409,USO_TR_BEN,sin ajuste,79208.892,,OK
MAP_0129,2023,DOIL,Energy products,Use,E,IND_BEN,BEV2_01412,USO_IND_BEN,sin ajuste,6887.755,,OK
MAP_0130,2023,ELEC,Energy products,Supply,D,ROW,BEV2_01416,COMERCIO_EXTERIOR,sin ajuste,6999.0746,,OK
MAP_0131,2023,ELEC,Energy products,Use,H,ROW,BEV2_01417,COMERCIO_EXTERIOR,sin ajuste,3831.1721,,OK
MAP_0132,2023,ELEC,Energy products,Supply,C,ENER,BEV2_01420,GENERACION_CENTRAL,sin ajuste,45301.8482,,OK
MAP_0133,2023,ELEC,Energy products,Supply,C,ENER,BEV2_01421,AUTOPRODUCCION,sin ajuste,3732.8669,,OK
MAP_0134,2023,ELEC,Energy products,Use,E,ENER,BEV2_01422,USO_ENER,sin ajuste,1834.5075,,OK
MAP_0135,2023,ELEC,Energy products,Use,E,TR_BEN,BEV2_01423,USO_TR_BEN,sin ajuste,11.5619,,OK
MAP_0136,2023,ELEC,Energy products,Use,F,HH,BEV2_01424,USO_HH,sin ajuste,15575.2156,,OK
MAP_0137,2023,ELEC,Energy products,Use,E,SERV,BEV2_01425,USO_SERV,sin ajuste,11459.0049,,OK
MAP_0138,2023,ELEC,Energy products,Use,E,IND_BEN,BEV2_01426,USO_IND_BEN,sin ajuste,16973.6245,,OK
MAP_0139,2023,ELEC,Energy products,Use,E,ENER,BEV2_01428,PERDIDAS_TRIPLE,sin ajuste,6348.7032,,OK
MAP_0140,2023,ELEC,Energy residuals,Supply,I,ENER,BEV2_01428,PERDIDAS_TRIPLE,sin ajuste,6348.7032,,OK
MAP_0141,2023,ELEC,Energy residuals,Use,Q,ENV,BEV2_01428,PERDIDAS_TRIPLE,sin ajuste,6348.7032,,OK
MAP_0142,2023,FOIL,Energy products,Supply,D,ROW,BEV2_01430,COMERCIO_EXTERIOR,sin ajuste,13818.5621,,OK
MAP_0143,2023,FOIL,Energy products,Use,G,ACC,BEV2_01432,CAMBIO_EXISTENCIAS,cambio de signo,1108.3737,,OK
MAP_0144,2023,FOIL,Energy products,Use,E,ENER,BEV2_01434,GENERACION_CENTRAL,valor absoluto,4479.8586,,OK
MAP_0145,2023,FOIL,Energy products,Use,E,ENER,BEV2_01435,AUTOPRODUCCION,valor absoluto,67.4541,,OK
MAP_0146,2023,FOIL,Energy products,Use,E,IND_BEN,BEV2_01440,USO_IND_BEN,sin ajuste,8162.8757,,OK
MAP_0147,2023,GAS,Energy products,Supply,D,ROW,BEV2_01444,COMERCIO_EXTERIOR,sin ajuste,91175.0518,,OK
MAP_0148,2023,GAS,Energy products,Use,H,ROW,BEV2_01445,COMERCIO_EXTERIOR,sin ajuste,1660.4399,,OK
MAP_0149,2023,GAS,Energy products,Use,G,ACC,BEV2_01446,CAMBIO_EXISTENCIAS,cambio de signo,688.1364,,OK
MAP_0150,2023,GAS,Energy products,Use,E,TR_BEN,BEV2_01451,USO_TR_BEN,sin ajuste,86608.1594,,OK
MAP_0151,2023,GAS,Energy products,Use,E,SERV,BEV2_01453,USO_SERV,sin ajuste,443.6516,,OK
MAP_0152,2023,GAS,Energy products,Use,E,IND_BEN,BEV2_01454,USO_IND_BEN,sin ajuste,1774.6645,,OK
MAP_0153,2023,GLP,Energy products,Supply,D,ROW,BEV2_01458,COMERCIO_EXTERIOR,sin ajuste,28802.2616,,OK
MAP_0154,2023,GLP,Energy products,Use,H,ROW,BEV2_01459,COMERCIO_EXTERIOR,sin ajuste,5094.1499,,OK
MAP_0155,2023,GLP,Energy products,Use,G,ACC,BEV2_01460,CAMBIO_EXISTENCIAS,cambio de signo,-1281.1631,,OK
MAP_0156,2023,GLP,Energy products,Use,E,TR_BEN,BEV2_01465,USO_TR_BEN,sin ajuste,249.8881,,OK
MAP_0157,2023,GLP,Energy products,Use,F,HH,BEV2_01466,USO_HH,sin ajuste,19241.7323,,OK
MAP_0158,2023,GLP,Energy products,Use,E,SERV,BEV2_01467,USO_SERV,sin ajuste,499.7762,,OK
MAP_0159,2023,GLP,Energy products,Use,E,IND_BEN,BEV2_01468,USO_IND_BEN,sin ajuste,4997.8782,,OK
MAP_0160,2023,KER,Energy products,Supply,D,ROW,BEV2_01472,COMERCIO_EXTERIOR,sin ajuste,5822.0267,,OK
MAP_0161,2023,KER,Energy products,Use,H,ROW,BEV2_01473,COMERCIO_EXTERIOR,sin ajuste,532.6027,,OK
MAP_0162,2023,KER,Energy products,Use,G,ACC,BEV2_01474,CAMBIO_EXISTENCIAS,cambio de signo,26.6098,,OK
MAP_0163,2023,KER,Energy products,Use,E,TR_BEN,BEV2_01479,USO_TR_BEN,sin ajuste,5262.7561,,OK
MAP_0164,2023,NOEN,Energy products,Supply,D,ROW,BEV2_01486,COMERCIO_EXTERIOR,sin ajuste,10524.1178,,OK
MAP_0165,2023,NOEN,Energy products,Use,H,ROW,BEV2_01487,COMERCIO_EXTERIOR,sin ajuste,1372.0315,,OK
MAP_0166,2023,NOEN,Energy products,Use,G,ACC,BEV2_01488,CAMBIO_EXISTENCIAS,cambio de signo,9756.3263,,OK
MAP_0167,2023,NOEN,Energy products,Supply,C,ENER,BEV2_01489,TRANSFORMACION_REFINERIA,sin ajuste,4090.0076,,OK
MAP_0168,2023,COQUE,Energy products,Use,SD,STAT,STAT_2023_COQUE,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0169,2023,CRBN,Energy products,Use,SD,STAT,STAT_2023_CRBN,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0170,2023,DOIL,Energy products,Use,SD,STAT,STAT_2023_DOIL,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0171,2023,KER,Energy products,Use,SD,STAT,STAT_2023_KER,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0172,2023,NOEN,Energy products,Use,E,NO_ASIG,NOEN_APARENTE_2023,USO_NO_ENERGETICO_APARENTE,sin ajuste,3485.7676,,CAL
MAP_0173,2023,PETR,Energy products,Use,SD,STAT,STAT_2023_PETR,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0174,2022,BCANA,Energy products,Supply,C,IND_BEN,BEV2_00981,FRONTERA_BAGAZO_IND,sin ajuste,74640.0242,,OK
MAP_0175,2022,BCANA,Energy products,Use,E,ENER,BEV2_00986,GENERACION_CENTRAL,valor absoluto,52745.5621,,OK
MAP_0176,2022,BCANA,Energy products,Use,E,ENER,BEV2_00987,AUTOPRODUCCION,valor absoluto,21894.404,,OK
MAP_0177,2022,BIOGAS,Energy products,Supply,C,ENER,BEV2_00995,FRONTERA_BIOGAS_ENER,sin ajuste,294.0441,,OK
MAP_0178,2022,BIOGAS,Energy products,Use,E,ENER,BEV2_01000,GENERACION_CENTRAL,valor absoluto,294.0441,,OK
MAP_0179,2022,CRBN,Energy from natural inputs,Supply,A,ENV,BEV2_01009,EXTRACCION_B,sin ajuste,0,,OK
MAP_0180,2022,CRBN,Energy from natural inputs,Use,B,B,BEV2_01009,EXTRACCION_B,sin ajuste,0,,OK
MAP_0181,2022,CRBN,Energy products,Supply,C,B,BEV2_01009,EXTRACCION_B,sin ajuste,0,,OK
MAP_0182,2022,CRBN,Energy products,Supply,D,ROW,BEV2_01010,COMERCIO_EXTERIOR,sin ajuste,26414.2354,,OK
MAP_0183,2022,CRBN,Energy products,Use,G,ACC,BEV2_01012,CAMBIO_EXISTENCIAS,cambio de signo,10465.0882,,OK
MAP_0184,2022,CRBN,Energy products,Use,E,ENER,BEV2_01014,GENERACION_CENTRAL,valor absoluto,15343.1061,,OK
MAP_0185,2022,CRBN,Energy products,Use,E,ENER,BEV2_01015,AUTOPRODUCCION,valor absoluto,605.983,,OK
MAP_0186,2022,EOLICA,Energy from natural inputs,Supply,A,ENV,BEV2_01023,INSUMO_NATURAL_RENOVABLE,sin ajuste,1135.2159,,OK
MAP_0187,2022,EOLICA,Energy from natural inputs,Use,B,ENER,BEV2_01028,GENERACION_CENTRAL,valor absoluto,1135.2159,,OK
MAP_0188,2022,GEOE,Energy from natural inputs,Supply,A,ENV,BEV2_01037,INSUMO_NATURAL_RENOVABLE,sin ajuste,11866.4602,,OK
MAP_0189,2022,GEOE,Energy from natural inputs,Use,B,ENER,BEV2_01042,GENERACION_CENTRAL,valor absoluto,11866.4602,,OK
MAP_0190,2022,GN,Energy from natural inputs,Supply,A,ENV,BEV2_01051,EXTRACCION_B,sin ajuste,43.2264,,OK
MAP_0191,2022,GN,Energy from natural inputs,Use,B,B,BEV2_01051,EXTRACCION_B,sin ajuste,43.2264,,OK
MAP_0192,2022,GN,Energy products,Supply,C,B,BEV2_01051,EXTRACCION_B,sin ajuste,43.2264,,OK
MAP_0193,2022,GN,Energy products,Use,E,ENER,BEV2_01056,GENERACION_CENTRAL,valor absoluto,43.2264,,OK
MAP_0194,2022,HYDR,Energy from natural inputs,Supply,A,ENV,BEV2_01065,INSUMO_NATURAL_RENOVABLE,sin ajuste,31962.1463,,OK
MAP_0195,2022,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_01070,GENERACION_CENTRAL,valor absoluto,31846.0044,,OK
MAP_0196,2022,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_01071,AUTOPRODUCCION,valor absoluto,116.1419,,OK
MAP_0197,2022,LENA,Energy products,Supply,C,A,BEV2_01079,FRONTERA_LENA_A,sin ajuste,322845.8968,,OK
MAP_0198,2022,LENA,Energy products,Use,F,HH,BEV2_01088,USO_HH,sin ajuste,313160.5106,,OK
MAP_0199,2022,LENA,Energy products,Use,E,SERV,BEV2_01089,USO_SERV,sin ajuste,9685.3862,,OK
MAP_0200,2022,PETR,Energy from natural inputs,Supply,A,ENV,BEV2_01093,EXTRACCION_B,sin ajuste,7611.5067,,OK
MAP_0201,2022,PETR,Energy from natural inputs,Use,B,B,BEV2_01093,EXTRACCION_B,sin ajuste,7611.5067,,OK
MAP_0202,2022,PETR,Energy products,Supply,C,B,BEV2_01093,EXTRACCION_B,sin ajuste,7611.5067,,OK
MAP_0203,2022,PETR,Energy products,Supply,D,ROW,BEV2_01094,COMERCIO_EXTERIOR,sin ajuste,90.055,,OK
MAP_0204,2022,PETR,Energy products,Use,H,ROW,BEV2_01095,COMERCIO_EXTERIOR,sin ajuste,5013.449,,OK
MAP_0205,2022,PETR,Energy products,Use,G,ACC,BEV2_01096,CAMBIO_EXISTENCIAS,cambio de signo,-2341.1976,,OK
MAP_0206,2022,PETR,Energy products,Use,E,ENER,BEV2_01097,TRANSFORMACION_REFINERIA,valor absoluto,5029.2522,,OK
MAP_0207,2022,SOLAR,Energy from natural inputs,Supply,A,ENV,BEV2_01107,INSUMO_NATURAL_RENOVABLE,sin ajuste,793.646,,OK
MAP_0208,2022,SOLAR,Energy from natural inputs,Use,B,ENER,BEV2_01112,GENERACION_CENTRAL,valor absoluto,793.646,,OK
MAP_0209,2022,COQUE,Energy products,Supply,D,ROW,BEV2_01122,COMERCIO_EXTERIOR,sin ajuste,30492.7392,,OK
MAP_0210,2022,COQUE,Energy products,Use,G,ACC,BEV2_01124,CAMBIO_EXISTENCIAS,cambio de signo,4064.0369,,OK
MAP_0211,2022,COQUE,Energy products,Use,E,IND_BEN,BEV2_01132,USO_IND_BEN,sin ajuste,26428.7023,,OK
MAP_0212,2022,DOIL,Energy products,Supply,D,ROW,BEV2_01136,COMERCIO_EXTERIOR,sin ajuste,82714.3555,,OK
MAP_0213,2022,DOIL,Energy products,Use,H,ROW,BEV2_01137,COMERCIO_EXTERIOR,sin ajuste,476.0714,,OK
MAP_0214,2022,DOIL,Energy products,Use,G,ACC,BEV2_01138,CAMBIO_EXISTENCIAS,cambio de signo,-398.6241,,OK
MAP_0215,2022,DOIL,Energy products,Use,E,ENER,BEV2_01140,GENERACION_CENTRAL,valor absoluto,101.675,,OK
MAP_0216,2022,DOIL,Energy products,Use,E,TR_BEN,BEV2_01143,USO_TR_BEN,sin ajuste,75932.4006,,OK
MAP_0217,2022,DOIL,Energy products,Use,E,IND_BEN,BEV2_01146,USO_IND_BEN,sin ajuste,6602.8326,,OK
MAP_0218,2022,ELEC,Energy products,Supply,D,ROW,BEV2_01150,COMERCIO_EXTERIOR,sin ajuste,5330.675,,OK
MAP_0219,2022,ELEC,Energy products,Use,H,ROW,BEV2_01151,COMERCIO_EXTERIOR,sin ajuste,3974.0981,,OK
MAP_0220,2022,ELEC,Energy products,Supply,C,ENER,BEV2_01154,GENERACION_CENTRAL,sin ajuste,44470.3791,,OK
MAP_0221,2022,ELEC,Energy products,Supply,C,ENER,BEV2_01155,AUTOPRODUCCION,sin ajuste,2860.9021,,OK
MAP_0222,2022,ELEC,Energy products,Use,E,ENER,BEV2_01156,USO_ENER,sin ajuste,2000.1506,,OK
MAP_0223,2022,ELEC,Energy products,Use,F,HH,BEV2_01158,USO_HH,sin ajuste,14717.1948,,OK
MAP_0224,2022,ELEC,Energy products,Use,E,SERV,BEV2_01159,USO_SERV,sin ajuste,10452.0157,,OK
MAP_0225,2022,ELEC,Energy products,Use,E,IND_BEN,BEV2_01160,USO_IND_BEN,sin ajuste,15335.495,,OK
MAP_0226,2022,ELEC,Energy products,Use,E,ENER,BEV2_01162,PERDIDAS_TRIPLE,sin ajuste,6183.0601,,OK
MAP_0227,2022,ELEC,Energy residuals,Supply,I,ENER,BEV2_01162,PERDIDAS_TRIPLE,sin ajuste,6183.0601,,OK
MAP_0228,2022,ELEC,Energy residuals,Use,Q,ENV,BEV2_01162,PERDIDAS_TRIPLE,sin ajuste,6183.0601,,OK
MAP_0229,2022,FOIL,Energy products,Supply,D,ROW,BEV2_01164,COMERCIO_EXTERIOR,sin ajuste,10373.5226,,OK
MAP_0230,2022,FOIL,Energy products,Use,G,ACC,BEV2_01166,CAMBIO_EXISTENCIAS,cambio de signo,712.0155,,OK
MAP_0231,2022,FOIL,Energy products,Use,E,ENER,BEV2_01168,GENERACION_CENTRAL,valor absoluto,1428.4466,,OK
MAP_0232,2022,FOIL,Energy products,Use,E,ENER,BEV2_01169,AUTOPRODUCCION,valor absoluto,61.4117,,OK
MAP_0233,2022,FOIL,Energy products,Use,E,IND_BEN,BEV2_01174,USO_IND_BEN,sin ajuste,8171.5907,,OK
MAP_0234,2022,GAS,Energy products,Supply,D,ROW,BEV2_01178,COMERCIO_EXTERIOR,sin ajuste,86611.8778,,OK
MAP_0235,2022,GAS,Energy products,Use,H,ROW,BEV2_01179,COMERCIO_EXTERIOR,sin ajuste,2572.5518,,OK
MAP_0236,2022,GAS,Energy products,Use,G,ACC,BEV2_01180,CAMBIO_EXISTENCIAS,cambio de signo,940.1161,,OK
MAP_0237,2022,GAS,Energy products,Use,E,TR_BEN,BEV2_01185,USO_TR_BEN,sin ajuste,81023.7036,,OK
MAP_0238,2022,GAS,Energy products,Use,E,SERV,BEV2_01187,USO_SERV,sin ajuste,415.1245,,OK
MAP_0239,2022,GAS,Energy products,Use,E,IND_BEN,BEV2_01188,USO_IND_BEN,sin ajuste,1660.4399,,OK
MAP_0240,2022,GLP,Energy products,Supply,D,ROW,BEV2_01192,COMERCIO_EXTERIOR,sin ajuste,29689.0419,,OK
MAP_0241,2022,GLP,Energy products,Use,H,ROW,BEV2_01193,COMERCIO_EXTERIOR,sin ajuste,5572.1386,,OK
MAP_0242,2022,GLP,Energy products,Use,G,ACC,BEV2_01194,CAMBIO_EXISTENCIAS,cambio de signo,7.2625,,OK
MAP_0243,2022,GLP,Energy products,Use,E,TR_BEN,BEV2_01199,USO_TR_BEN,sin ajuste,241.115,,OK
MAP_0244,2022,GLP,Energy products,Use,F,HH,BEV2_01200,USO_HH,sin ajuste,18564.4025,,OK
MAP_0245,2022,GLP,Energy products,Use,E,SERV,BEV2_01201,USO_SERV,sin ajuste,482.1719,,OK
MAP_0246,2022,GLP,Energy products,Use,E,IND_BEN,BEV2_01202,USO_IND_BEN,sin ajuste,4821.8933,,OK
MAP_0247,2022,KER,Energy products,Supply,D,ROW,BEV2_01206,COMERCIO_EXTERIOR,sin ajuste,4432.7976,,OK
MAP_0248,2022,KER,Energy products,Use,H,ROW,BEV2_01207,COMERCIO_EXTERIOR,sin ajuste,117.4782,,OK
MAP_0249,2022,KER,Energy products,Use,G,ACC,BEV2_01208,CAMBIO_EXISTENCIAS,cambio de signo,-170.7559,,OK
MAP_0250,2022,KER,Energy products,Use,E,TR_BEN,BEV2_01213,USO_TR_BEN,sin ajuste,4486.1334,,OK
MAP_0251,2022,NOEN,Energy products,Supply,D,ROW,BEV2_01220,COMERCIO_EXTERIOR,sin ajuste,404.5503,,OK
MAP_0252,2022,NOEN,Energy products,Use,H,ROW,BEV2_01221,COMERCIO_EXTERIOR,sin ajuste,2884.7812,,OK
MAP_0253,2022,NOEN,Energy products,Use,G,ACC,BEV2_01222,CAMBIO_EXISTENCIAS,cambio de signo,-143.3908,,OK
MAP_0254,2022,NOEN,Energy products,Supply,C,ENER,BEV2_01223,TRANSFORMACION_REFINERIA,sin ajuste,4777.7954,,OK
MAP_0255,2022,BCANA,Energy products,Use,SD,STAT,STAT_2022_BCANA,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0256,2022,CRBN,Energy products,Use,SD,STAT,STAT_2022_CRBN,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0257,2022,ELEC,Energy products,Use,SD,STAT,STAT_2022_ELEC,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0258,2022,FOIL,Energy products,Use,SD,STAT,STAT_2022_FOIL,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0259,2022,GAS,Energy products,Use,SD,STAT,STAT_2022_GAS,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0260,2022,GLP,Energy products,Use,SD,STAT,STAT_2022_GLP,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
