registro_mapeo,anio,producto,flow_group,lado,bloque,unidad_sectorial,source_record_id,metodo,ajuste,TJ,tipo_STAT,estado_fuente
MAP_0524,2018,BCANA,Energy products,Supply,C,IND_BEN,BEV2_00001,FRONTERA_BAGAZO_IND,sin ajuste,50655.8213,,OK
MAP_0525,2018,BCANA,Energy products,Use,E,ENER,BEV2_00006,GENERACION_CENTRAL,valor absoluto,36013.4593,,OK
MAP_0526,2018,BCANA,Energy products,Use,E,ENER,BEV2_00007,AUTOPRODUCCION,valor absoluto,14642.362,,OK
MAP_0527,2018,BIOGAS,Energy products,Supply,C,ENER,BEV2_00015,FRONTERA_BIOGAS_ENER,sin ajuste,436.2148,,OK
MAP_0528,2018,BIOGAS,Energy products,Use,E,ENER,BEV2_00020,GENERACION_CENTRAL,valor absoluto,421.6898,,OK
MAP_0529,2018,BIOGAS,Energy products,Use,E,ENER,BEV2_00021,AUTOPRODUCCION,valor absoluto,14.525,,OK
MAP_0530,2018,CRBN,Energy from natural inputs,Supply,A,ENV,BEV2_00029,EXTRACCION_B,sin ajuste,0,,OK
MAP_0531,2018,CRBN,Energy from natural inputs,Use,B,B,BEV2_00029,EXTRACCION_B,sin ajuste,0,,OK
MAP_0532,2018,CRBN,Energy products,Supply,C,B,BEV2_00029,EXTRACCION_B,sin ajuste,0,,OK
MAP_0533,2018,CRBN,Energy products,Supply,D,ROW,BEV2_00030,COMERCIO_EXTERIOR,sin ajuste,52949.6093,,OK
MAP_0534,2018,CRBN,Energy products,Use,G,ACC,BEV2_00032,CAMBIO_EXISTENCIAS,cambio de signo,1169.2044,,OK
MAP_0535,2018,CRBN,Energy products,Use,E,ENER,BEV2_00034,GENERACION_CENTRAL,valor absoluto,51780.4049,,OK
MAP_0536,2018,EOLICA,Energy from natural inputs,Supply,A,ENV,BEV2_00043,INSUMO_NATURAL_RENOVABLE,sin ajuste,1166.7061,,OK
MAP_0537,2018,EOLICA,Energy from natural inputs,Use,B,ENER,BEV2_00048,GENERACION_CENTRAL,valor absoluto,1166.7061,,OK
MAP_0538,2018,GEOE,Energy from natural inputs,Supply,A,ENV,BEV2_00057,INSUMO_NATURAL_RENOVABLE,sin ajuste,10709.8635,,OK
MAP_0539,2018,GEOE,Energy from natural inputs,Use,B,ENER,BEV2_00062,GENERACION_CENTRAL,valor absoluto,10709.8635,,OK
MAP_0540,2018,HYDR,Energy from natural inputs,Supply,A,ENV,BEV2_00071,INSUMO_NATURAL_RENOVABLE,sin ajuste,23900.3065,,OK
MAP_0541,2018,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_00076,GENERACION_CENTRAL,valor absoluto,23801.3622,,OK
MAP_0542,2018,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_00077,AUTOPRODUCCION,valor absoluto,98.9443,,OK
MAP_0543,2018,LENA,Energy products,Supply,C,A,BEV2_00085,FRONTERA_LENA_A,sin ajuste,289754.9256,,OK
MAP_0544,2018,LENA,Energy products,Use,G,ACC,BEV2_00088,CAMBIO_EXISTENCIAS,cambio de signo,-2.8469,,OK
MAP_0545,2018,LENA,Energy products,Use,E,ENER,BEV2_00091,AUTOPRODUCCION,valor absoluto,2.8469,,OK
MAP_0546,2018,LENA,Energy products,Use,F,HH,BEV2_00094,USO_HH,sin ajuste,281062.2941,,OK
MAP_0547,2018,LENA,Energy products,Use,E,SERV,BEV2_00095,USO_SERV,sin ajuste,8692.6315,,OK
MAP_0548,2018,PETR,Energy from natural inputs,Supply,A,ENV,BEV2_00099,EXTRACCION_B,sin ajuste,19402.7855,,OK
MAP_0549,2018,PETR,Energy from natural inputs,Use,B,B,BEV2_00099,EXTRACCION_B,sin ajuste,19402.7855,,OK
MAP_0550,2018,PETR,Energy products,Supply,C,B,BEV2_00099,EXTRACCION_B,sin ajuste,19402.7855,,OK
MAP_0551,2018,PETR,Energy products,Use,H,ROW,BEV2_00101,COMERCIO_EXTERIOR,sin ajuste,13035.316,,OK
MAP_0552,2018,PETR,Energy products,Use,G,ACC,BEV2_00102,CAMBIO_EXISTENCIAS,cambio de signo,600.2311,,OK
MAP_0553,2018,PETR,Energy products,Use,E,ENER,BEV2_00103,TRANSFORMACION_REFINERIA,valor absoluto,5767.2965,,OK
MAP_0554,2018,SOLAR,Energy from natural inputs,Supply,A,ENV,BEV2_00113,INSUMO_NATURAL_RENOVABLE,sin ajuste,736.1851,,OK
